gene_name,go_domain,go_annotation
YDR296W,Biological process,positive
YGL232W,Biological process,ion
YPR091C,Biological process,biological_process
YJR158W,Biological process,transport
YHR137W,Biological process,metabolic process
YBR187W,Biological process,ion
YBR187W,Biological process,transport
YMR198W,Biological process,ion
YMR198W,Biological process,regulation
YCR003W,Biological process,ion
YDR342C,Biological process,transport
YGR294W,Biological process,biological_process
YBR020W,Biological process,positive
YBR020W,Biological process,regulation
YBR020W,Biological process,ion
YBR020W,Biological process,catabolic process
YLR418C,Biological process,ion
YLR418C,Biological process,positive
YLR418C,Biological process,regulation
YLR418C,Biological process,negative
YLR418C,Biological process,repair
YLR418C,Biological process,histone
YER059W,Biological process,regulation
YER059W,Biological process,ion
YER059W,Biological process,catabolic process
YPL153C,Biological process,metabolic process
YPL153C,Biological process,ion
YPL153C,Biological process,repair
YPL153C,Biological process,protein
YPL153C,Biological process,negative
YPL153C,Biological process,regulation
YBL025W,Biological process,ion
YDR126W,Biological process,regulation
YDR126W,Biological process,ion
YDR126W,Biological process,protein
YOR223W,Biological process,biological_process
YEL022W,Biological process,transport
YEL022W,Biological process,ion
YDL074C,Biological process,ion
YDL074C,Biological process,repair
YDL074C,Biological process,histone
YDL074C,Biological process,regulation
YDL074C,Biological process,protein
YJL190C,Biological process,ion
YMR218C,Biological process,transport
YMR218C,Biological process,regulation
YMR218C,Biological process,ion
YNL265C,Biological process,transport
YNL230C,Biological process,protein
YNL230C,Biological process,catabolic process
YNL230C,Biological process,ion
YLL049W,Biological process,ion
YHR211W,Biological process,ion
YHR211W,Biological process,protein
YPR166C,Biological process,ion
YJL042W,Biological process,negative
YJL042W,Biological process,regulation
YJL042W,Biological process,ion
YNL301C,Biological process,ion
YMR058W,Biological process,transport
YMR058W,Biological process,ion
YMR058W,Biological process,copper
YOR290C,Biological process,catabolic process
YOR290C,Biological process,ion
YOR290C,Biological process,repair
YOR290C,Biological process,positive
YOR290C,Biological process,regulation
YOR290C,Biological process,starvation
YKL114C,Biological process,repair
YKL114C,Biological process,ion
YML024W,Biological process,ion
YHR197W,Biological process,ion
YHR197W,Biological process,regulation
YDR276C,Biological process,transport
YDR276C,Biological process,ion
YDR276C,Biological process,regulation
YLR200W,Biological process,protein
YLR200W,Biological process,positive
YLR200W,Biological process,regulation
YLR200W,Biological process,ion
YKR003W,Biological process,transport
YKR003W,Biological process,metabolic process
YER175C,Biological process,biological_process
YKL135C,Biological process,transport
YDL183C,Biological process,transport
YDL183C,Biological process,ion
YBL066C,Biological process,biological_process
YGL107C,Biological process,ion
YGL107C,Biological process,regulation
YOR057W,Biological process,protein
YMR272C,Biological process,metabolic process
YKL054C,Biological process,repair
YKL054C,Biological process,ion
YKL054C,Biological process,protein
YKL054C,Biological process,catabolic process
YGR162W,Biological process,ion
YDL165W,Biological process,catabolic process
YDL165W,Biological process,ion
YDL165W,Biological process,regulation
YDL165W,Biological process,protein
YDL165W,Biological process,positive
YJR051W,Biological process,protein
YJR051W,Biological process,metabolic process
YNL009W,Biological process,ion
YJR135C,Biological process,ion
YGL213C,Biological process,protein
YGL213C,Biological process,ion
YGL213C,Biological process,catabolic process
YMR076C,Biological process,repair
YMR076C,Biological process,ion
YGR205W,Biological process,biological_process
YNL027W,Biological process,positive
YNL027W,Biological process,regulation
YNL027W,Biological process,ion
YNL027W,Biological process,transport
YLR291C,Biological process,regulation
YLR291C,Biological process,ion
YIL122W,Biological process,regulation
YIL122W,Biological process,ion
YDL230W,Biological process,ion
YDL230W,Biological process,protein
YJR113C,Biological process,ion
YGR024C,Biological process,ion
YIR026C,Biological process,protein
YIR026C,Biological process,ion
YIR026C,Biological process,positive
YIR026C,Biological process,regulation
YER057C,Biological process,biological_process
YGR097W,Biological process,protein
YGR097W,Biological process,catabolic process
YGR097W,Biological process,positive
YGR097W,Biological process,regulation
YGR097W,Biological process,transport
YGR097W,Biological process,ion
YIL068C,Biological process,transport
YIL068C,Biological process,negative
YIL068C,Biological process,regulation
YIL068C,Biological process,ion
YCL025C,Biological process,transport
YNL282W,Biological process,catabolic process
YGL144C,Biological process,metabolic process
YDR190C,Biological process,regulation
YDR190C,Biological process,ion
YDR190C,Biological process,histone
YAL031C,Biological process,ion
YAL031C,Biological process,regulation
YAL031C,Biological process,protein
YBL006C,Biological process,ion
YGR108W,Biological process,regulation
YGR108W,Biological process,protein
YGR108W,Biological process,ion
YGR108W,Biological process,positive
YBR264C,Biological process,ion
YBR231C,Biological process,histone
YBR166C,Biological process,metabolic process
YDR462W,Biological process,ion
YJL148W,Biological process,ion
YIL057C,Biological process,metabolic process
YPL055C,Biological process,ion
YPL055C,Biological process,protein
YPL055C,Biological process,histone
YLR353W,Biological process,ion
YIL148W,Biological process,ion
YIL148W,Biological process,protein
YNR016C,Biological process,protein
YNR016C,Biological process,ion
YHR114W,Biological process,ion
YGR028W,Biological process,protein
YGR028W,Biological process,ion
YGR028W,Biological process,targeting
YNL279W,Biological process,ion
YDR400W,Biological process,catabolic process
YOL027C,Biological process,transport
YOL027C,Biological process,ion
YOL027C,Biological process,protein
YOL027C,Biological process,positive
YOL027C,Biological process,regulation
YPL120W,Biological process,transport
YOL145C,Biological process,regulation
YOL145C,Biological process,ion
YOL145C,Biological process,histone
YOL145C,Biological process,repair
YOL145C,Biological process,positive
YJL099W,Biological process,transport
YHR149C,Biological process,biological_process
YOL110W,Biological process,protein
YOL110W,Biological process,targeting
YOL110W,Biological process,ion
YDR005C,Biological process,negative
YDR005C,Biological process,regulation
YDR005C,Biological process,ion
YMR311C,Biological process,ion
YGR188C,Biological process,protein
YGR188C,Biological process,ion
YOR362C,Biological process,protein
YOR362C,Biological process,catabolic process
YLR126C,Biological process,copper
YLR126C,Biological process,ion
YDL053C,Biological process,biological_process
YML074C,Biological process,ion
YKR062W,Biological process,ion
YER010C,Biological process,catabolic process
YMR097C,Biological process,ion
YDR158W,Biological process,ion
YHR096C,Biological process,transport
YDL035C,Biological process,ion
YDL035C,Biological process,protein
YOR257W,Biological process,ion
YOR257W,Biological process,protein
YOR257W,Biological process,catabolic process
YOR257W,Biological process,regulation
YGR002C,Biological process,repair
YGR002C,Biological process,ion
YGR002C,Biological process,histone
YGR075C,Biological process,ion
YGR253C,Biological process,protein
YGR253C,Biological process,catabolic process
YDR510W,Biological process,protein
YDR510W,Biological process,ion
YLR148W,Biological process,transport
YLR148W,Biological process,regulation
YLR148W,Biological process,ion
YMR137C,Biological process,repair
YMR137C,Biological process,ion
YDL082W,Biological process,ion
YKL155C,Biological process,ion
YFL042C,Biological process,transport
YDR148C,Biological process,metabolic process
YPL096W,Biological process,protein
YPL096W,Biological process,catabolic process
YPL096W,Biological process,ion
YDR335W,Biological process,protein
YPR141C,Biological process,ion
